"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","Target"
47,100,27,81,57,37,26,0,0,23,56,53,100,90,40,98,'Normal'
0,89,27,100,42,75,29,45,15,15,37,0,69,2,100,6,'Anomaly'
0,57,31,68,72,90,100,100,76,75,50,51,28,25,16,0,'Anomaly'
0,100,7,92,5,68,19,45,86,34,100,45,74,23,67,0,'Anomaly'
0,67,49,83,100,100,81,80,60,60,40,40,33,20,47,0,'Anomaly'
100,100,88,99,49,74,17,47,0,16,37,0,73,16,20,20,'Anomaly'
0,100,3,72,26,35,85,35,100,71,73,97,65,49,66,0,'Anomaly'
0,39,2,62,11,5,63,0,100,43,89,99,36,100,0,57,'Anomaly'
13,89,12,50,72,38,56,0,4,17,0,61,32,94,100,100,'Anomaly'
57,100,22,72,0,31,25,0,75,13,100,50,75,87,26,85,'Anomaly'
74,87,31,100,0,69,62,64,100,79,100,38,84,0,18,1,'Anomaly'
48,96,62,65,88,27,21,0,21,33,79,67,100,100,0,85,'Normal'
100,100,72,99,36,78,34,54,79,47,64,13,19,0,0,2,'Anomaly'
91,74,54,100,0,87,23,59,81,67,100,39,79,4,21,0,'Anomaly'
0,85,38,100,81,88,87,50,84,12,58,0,53,22,100,24,'Anomaly'
35,76,57,100,100,92,68,66,81,38,82,9,32,0,0,17,'Anomaly'
50,84,66,100,75,75,51,51,100,42,97,13,49,0,0,7,'Anomaly'
99,80,63,100,25,76,79,68,100,62,97,23,54,0,0,16,'Anomaly'
24,66,43,100,59,65,34,28,0,1,16,11,58,0,100,1,'Anomaly'
0,73,19,99,72,100,70,73,32,48,5,18,46,0,100,0,'Anomaly'
12,77,20,62,78,40,50,0,1,17,0,64,23,98,100,100,'Anomaly'
0,46,49,64,78,87,100,100,91,75,85,49,75,24,89,0,'Anomaly'
10,86,34,66,68,34,34,0,4,26,0,69,34,95,100,100,'Anomaly'
73,62,53,100,0,72,82,39,100,0,15,14,52,57,90,94,'Normal'
54,100,34,75,6,43,0,11,70,0,100,28,44,46,36,21,'Anomaly'
11,100,0,69,15,43,87,47,100,65,74,67,71,33,66,0,'Anomaly'
36,92,7,83,0,37,26,0,77,6,100,46,84,89,36,100,'Anomaly'
46,100,10,83,34,64,100,77,71,82,49,54,22,27,0,0,'Anomaly'
61,59,58,100,0,84,44,42,80,0,8,5,33,44,100,70,'Normal'
100,84,31,100,0,88,8,70,15,53,15,35,0,17,0,0,'Anomaly'
32,59,53,100,100,95,79,46,48,0,93,19,58,55,0,63,'Normal'
40,99,51,66,79,26,39,0,0,27,8,77,46,100,100,94,'Anomaly'
0,98,36,100,80,85,68,42,56,0,25,23,50,37,100,32,'Anomaly'
27,76,1,42,16,0,70,3,100,40,92,84,44,100,0,73,'Anomaly'
0,0,31,15,63,30,88,52,100,79,82,100,56,82,79,64,'Anomaly'
30,86,67,100,77,77,53,50,78,40,100,17,56,0,0,5,'Anomaly'
29,91,14,57,66,39,30,0,0,19,3,72,39,97,100,100,'Anomaly'
77,97,40,100,0,59,9,29,84,33,100,64,77,44,48,0,'Anomaly'
64,93,0,67,97,67,89,100,14,70,100,68,96,36,28,0,'Anomaly'
9,93,53,100,89,80,57,52,17,30,0,5,50,2,100,0,'Anomaly'
0,93,62,100,100,78,69,43,50,5,35,0,15,35,86,37,'Anomaly'
30,87,16,55,68,41,52,0,0,16,15,63,41,100,100,98,'Anomaly'
60,100,20,76,0,39,10,1,69,0,100,33,56,40,15,10,'Anomaly'
0,83,29,100,88,95,64,69,73,43,100,13,50,1,10,0,'Anomaly'
5,90,46,98,89,100,100,81,77,59,62,34,37,14,0,0,'Anomaly'
100,99,67,100,24,68,0,32,27,0,99,8,77,40,9,55,'Anomaly'
47,86,73,100,89,75,68,49,100,28,82,4,38,0,0,13,'Anomaly'
29,72,45,100,78,78,60,41,25,12,0,4,50,6,100,0,'Anomaly'
1,88,0,54,59,31,36,0,11,28,4,68,28,97,100,100,'Anomaly'
63,100,40,73,70,63,100,77,79,74,55,48,29,23,0,0,'Anomaly'
11,92,56,100,83,82,52,59,87,39,100,14,55,0,0,0,'Anomaly'
51,76,68,91,100,100,83,80,59,60,34,40,10,20,0,0,'Anomaly'
56,99,18,72,0,24,36,0,85,23,100,69,58,100,19,74,'Anomaly'
0,75,47,87,100,100,91,80,72,60,53,40,35,20,19,0,'Anomaly'
17,100,0,74,6,36,77,37,100,63,73,95,71,47,75,0,'Anomaly'
41,96,17,76,50,37,31,0,0,34,1,86,49,98,100,100,'Anomaly'
20,82,62,100,100,81,68,54,82,50,89,19,42,0,0,13,'Anomaly'
12,78,40,100,74,77,52,41,13,14,0,17,50,8,100,0,'Anomaly'
18,73,0,73,10,24,54,0,100,22,95,71,52,100,5,84,'Anomaly'
97,100,41,90,4,58,0,22,52,0,100,22,49,38,8,13,'Anomaly'
57,63,100,100,0,91,36,53,95,16,2,0,5,36,91,67,'Normal'
30,81,87,100,100,98,37,86,46,54,99,32,59,2,0,0,'Anomaly'
12,61,0,20,44,0,92,23,100,64,70,100,15,92,0,52,'Anomaly'
0,84,50,100,72,79,37,52,51,41,100,27,62,3,3,0,'Anomaly'
0,100,61,100,100,93,63,64,36,33,14,0,9,29,47,42,'Anomaly'
100,79,67,100,26,76,41,38,47,0,0,8,38,38,96,58,'Normal'
100,100,58,83,31,55,17,24,43,0,80,19,50,43,0,39,'Anomaly'
94,79,40,100,13,65,59,30,67,0,0,17,45,52,100,83,'Normal'
0,82,75,56,100,12,22,0,22,41,92,73,84,100,2,80,'Normal'
80,100,36,100,58,80,65,82,82,47,100,14,53,0,0,7,'Anomaly'
35,76,0,42,11,0,65,5,100,41,97,85,49,100,9,69,'Anomaly'
34,100,21,76,0,35,43,30,91,29,100,41,74,46,67,0,'Anomaly'
0,75,31,72,67,84,100,100,94,82,80,54,68,27,56,0,'Anomaly'
90,71,100,100,25,85,10,50,80,62,99,53,64,17,0,0,'Anomaly'
0,97,42,100,67,71,53,35,34,0,16,23,40,42,100,42,'Anomaly'
38,94,4,63,0,20,41,0,84,19,100,60,77,98,32,100,'Anomaly'
72,100,38,88,2,57,0,19,51,0,100,20,55,34,12,7,'Anomaly'
26,79,69,100,92,85,56,56,90,42,100,15,51,0,0,2,'Anomaly'
31,73,55,100,55,53,33,14,0,0,30,11,65,1,100,1,'Anomaly'
46,100,21,85,0,60,24,42,68,44,100,49,76,25,58,0,'Anomaly'
41,69,76,100,73,81,57,39,46,0,0,10,50,9,100,10,'Anomaly'
32,100,12,76,0,48,1,21,39,0,100,9,64,21,18,3,'Anomaly'
0,100,54,98,91,85,71,52,62,17,74,0,100,32,42,37,'Anomaly'
47,93,1,67,0,16,53,0,100,32,95,81,42,100,7,62,'Anomaly'
95,92,50,100,21,77,74,87,100,86,69,56,37,26,0,0,'Anomaly'
39,100,23,82,0,52,1,21,48,0,100,16,70,42,6,55,'Anomaly'
22,100,1,66,0,33,50,32,100,36,82,63,77,30,71,0,'Anomaly'
3,96,53,100,81,68,83,28,72,0,100,34,51,41,0,43,'Anomaly'
0,65,38,79,62,100,72,86,77,65,79,43,83,21,100,0,'Anomaly'
0,60,38,80,80,100,100,92,80,69,65,46,55,23,55,0,'Anomaly'
40,72,16,50,96,69,70,100,0,73,65,57,100,47,94,0,'Anomaly'
100,100,63,78,28,53,0,27,4,0,60,1,78,22,24,21,'Anomaly'
33,58,19,90,78,100,91,62,51,28,0,2,37,1,100,0,'Anomaly'
42,83,60,53,89,11,13,0,0,33,77,57,100,92,18,100,'Normal'
0,88,24,68,76,33,43,0,29,32,84,66,100,100,8,89,'Normal'
50,97,72,68,100,100,42,86,93,72,89,48,70,7,0,0,'Anomaly'
44,66,67,100,80,62,47,25,5,0,0,3,50,4,100,7,'Anomaly'
100,89,40,83,63,40,84,0,0,7,53,53,80,100,3,78,'Normal'
22,93,0,95,50,97,100,100,67,81,43,56,28,28,30,0,'Anomaly'
29,73,56,100,68,71,45,38,11,12,0,8,50,6,100,0,'Anomaly'
0,79,51,59,100,29,51,0,22,26,51,60,73,94,9,100,'Normal'
0,100,67,100,86,72,56,37,34,0,6,33,32,45,100,46,'Anomaly'
2,85,31,100,76,74,62,37,47,0,100,8,68,30,0,41,'Anomaly'
54,93,0,88,54,46,70,0,5,9,54,52,100,96,7,100,'Normal'
58,100,0,89,44,53,100,21,63,0,62,36,87,80,25,91,'Normal'
78,85,65,66,100,25,49,0,15,29,58,67,66,100,0,84,'Normal'
84,93,20,100,22,50,44,0,0,22,54,59,100,95,27,97,'Normal'
95,68,77,100,21,76,60,38,68,0,0,15,29,53,100,81,'Normal'
0,67,38,66,62,30,38,0,8,30,45,63,100,90,58,100,'Normal'
100,75,95,100,24,81,38,44,69,8,0,0,45,33,96,64,'Normal'
100,100,14,90,74,55,79,97,37,62,0,39,36,0,39,44,'Normal'
86,100,0,95,32,56,100,22,30,0,5,36,80,68,52,99,'Normal'
0,68,73,45,100,8,20,0,37,38,92,72,85,100,7,81,'Normal'
56,83,28,61,90,23,24,0,22,40,100,72,72,100,0,72,'Normal'
76,85,0,100,16,63,81,31,69,0,6,25,34,64,100,95,'Normal'
41,53,60,100,100,89,70,42,33,0,72,16,54,62,0,72,'Normal'
92,65,50,100,0,82,47,46,87,6,42,0,54,45,100,79,'Normal'
9,32,60,62,80,100,6,93,36,56,100,27,57,0,0,25,'Normal'
0,78,40,100,97,78,69,39,44,0,100,7,35,37,22,73,'Normal'
55,76,22,68,66,29,39,0,52,32,100,68,69,100,0,86,'Normal'
24,66,100,89,30,66,88,32,34,0,0,34,61,72,77,100,'Normal'
93,100,5,96,42,65,85,32,58,0,0,14,36,47,100,74,'Normal'
86,79,47,100,18,62,65,27,66,0,0,3,46,39,100,71,'Normal'
86,78,48,100,14,72,19,35,2,0,0,29,49,59,100,88,'Normal'
100,100,26,97,1,66,45,33,29,0,0,26,38,61,87,93,'Normal'
73,98,0,95,16,60,84,29,70,0,45,35,100,69,88,100,'Normal'
100,66,56,100,23,73,77,34,65,0,0,24,55,58,73,77,'Normal'
39,76,74,40,83,2,11,0,50,35,100,67,73,100,0,81,'Normal'
72,83,49,100,61,58,82,17,0,0,25,33,100,61,75,92,'Normal'
31,93,12,78,71,36,31,0,21,33,100,65,69,100,0,78,'Normal'
64,100,34,73,100,39,94,3,0,0,38,38,90,74,76,95,'Normal'
77,60,77,100,10,90,15,49,40,8,0,0,32,34,100,55,'Normal'
33,76,48,100,100,97,74,50,44,4,77,0,39,40,0,79,'Normal'
86,71,72,100,32,75,55,35,42,0,0,17,48,45,100,70,'Normal'
53,79,44,55,22,10,0,0,32,36,66,69,100,100,61,83,'Normal'
0,12,50,48,84,87,24,100,29,65,100,35,84,0,9,11,'Normal'
45,70,77,35,58,0,0,10,48,42,100,71,84,100,26,81,'Normal'
99,68,58,100,0,78,47,42,100,9,39,0,47,41,100,73,'Normal'
13,95,17,66,83,35,77,0,0,14,42,49,100,81,34,100,'Normal'
38,63,74,100,11,86,34,43,67,0,0,7,27,48,100,76,'Normal'
100,97,40,100,0,65,35,27,39,0,40,38,87,73,87,100,'Normal'
76,70,32,100,10,71,85,41,100,4,4,0,0,39,54,73,'Normal'
59,85,25,71,88,35,79,0,7,29,62,64,100,100,0,99,'Normal'
78,99,0,100,17,63,57,28,47,0,7,31,45,65,100,95,'Normal'
14,99,16,67,67,33,74,0,0,17,44,48,100,77,39,100,'Normal'
0,82,37,62,83,30,65,0,46,32,81,66,100,100,23,90,'Normal'
57,68,52,100,4,71,48,37,63,0,0,13,27,49,100,78,'Normal'
16,38,67,29,43,0,22,25,66,57,100,94,50,100,0,74,'Normal'
35,73,77,55,100,20,39,0,37,35,79,68,86,100,0,84,'Normal'
75,100,0,89,70,61,100,26,32,0,7,31,63,63,95,99,'Normal'
86,90,28,100,0,52,46,4,26,0,25,51,100,83,73,99,'Normal'
62,76,23,100,0,67,67,35,89,0,22,22,56,60,100,96,'Normal'
100,95,38,99,35,65,70,29,32,0,0,27,36,64,65,100,'Normal'
3,57,83,70,100,100,6,85,20,52,71,20,0,0,37,32,'Normal'
82,100,35,78,97,39,94,0,0,1,39,42,100,81,40,94,'Normal'
19,78,29,36,13,0,8,27,58,49,100,79,55,100,0,88,'Normal'
55,40,100,64,92,100,48,81,45,40,55,0,0,4,11,38,'Normal'
73,64,54,100,0,75,60,40,91,0,13,13,46,55,100,87,'Normal'
79,100,14,81,49,39,100,0,32,0,52,55,71,100,0,71,'Normal'
85,69,47,100,0,75,44,38,72,0,16,16,57,55,100,87,'Normal'
45,74,23,68,92,35,77,0,45,28,100,64,95,100,0,80,'Normal'
56,60,65,100,100,83,81,39,51,0,85,16,56,50,0,55,'Normal'
64,92,3,100,25,62,44,23,0,0,1,30,55,58,100,90,'Normal'
98,89,48,100,29,65,58,25,6,0,0,31,53,63,100,91,'Normal'
47,68,0,70,53,34,85,0,22,12,53,59,100,100,46,88,'Normal'
48,97,9,67,100,64,66,100,24,57,0,0,87,8,15,41,'Normal'
100,95,0,78,93,59,81,100,62,44,2,5,96,0,48,48,'Normal'
61,96,0,83,61,66,100,30,49,0,5,30,39,68,42,100,'Normal'
47,69,42,100,6,75,54,39,47,0,0,21,42,58,100,90,'Normal'
73,96,50,70,38,24,0,0,29,41,70,77,100,100,46,78,'Normal'
100,92,18,81,46,39,62,0,1,13,43,56,74,100,0,75,'Normal'
50,100,5,82,71,42,91,0,7,18,78,56,100,92,0,90,'Normal'
100,75,47,100,0,79,49,41,66,0,3,25,27,66,98,91,'Normal'
77,72,51,100,0,77,61,42,94,0,22,2,33,45,100,76,'Normal'
38,73,84,41,100,0,53,7,73,49,98,90,54,100,0,75,'Normal'
0,23,63,46,100,87,50,100,34,57,86,23,57,0,9,22,'Normal'
28,6,64,48,100,91,53,100,22,59,80,31,66,0,0,2,'Normal'
25,89,65,55,100,21,20,0,0,30,55,62,94,95,22,100,'Normal'
43,82,85,44,100,3,17,0,0,34,62,64,90,100,7,95,'Normal'
51,69,74,37,100,0,52,4,41,41,73,75,60,100,0,83,'Normal'
37,71,79,71,49,100,0,45,25,36,66,0,100,51,10,26,'Normal'
96,100,0,98,22,54,87,15,51,0,25,39,100,73,38,94,'Normal'
100,89,52,100,25,71,45,34,38,0,0,17,34,47,76,71,'Normal'
90,94,13,95,26,56,96,27,52,0,0,26,45,64,100,100,'Normal'
66,90,6,55,100,73,45,100,33,46,0,0,89,11,13,23,'Normal'
96,85,31,100,44,64,96,27,37,0,0,31,72,62,100,91,'Normal'
76,95,23,100,36,60,68,22,23,0,0,33,46,65,100,94,'Normal'
32,52,22,0,100,2,78,63,35,37,14,100,71,92,0,73,'Normal'
